구분,키,파일수,한자수,지명,이름,관서,관직,서명,밀도_천자당
출처,승정원일기,297,223952552,1335483,8355291,0,0,140958,5.96
출처,조선왕조실록,673,49528024,490163,1495199,0,2,49506,9.9
출처,한국사료총서,63,19927656,201181,477546,29574,129361,12307,10.1
출처,고순종실록,70,3001573,41793,77071,0,0,1755,13.92
출처,고려사,138,1583112,16876,66285,0,37477,1092,10.66
출처,고려사절요,36,592608,6965,31997,0,13419,283,11.75
출처,삼국사기,52,204360,4615,7563,469,0,240,22.58
출처,삼국유사,5,93039,1113,3611,5,0,253,11.96
장르,미상,483,230484109,1396752,8503797,2239,54141,143427,6.06
장르,왕실-의식(儀式),212,19881179,227215,597471,0,0,22418,11.43
장르,사부(史部)_잡사류(雜史類),33,8128289,97887,276484,14307,77924,4880,12.04
장르,사부(史部)_지리류(地理類),2,2221223,44012,37263,5620,18089,591,19.81
장르,왕실-행행(行幸),28,3681111,40806,95041,0,2,3188,11.09
장르,과학-천기(天氣),49,4163819,38589,131989,0,0,3682,9.27
장르,왕실-국왕(國王),56,2658382,23885,80776,0,0,2848,8.98
장르,왕실(王室),57,2591011,22834,72703,0,0,2262,8.81
장르,인사-임면(任免),44,1739336,14141,58610,0,0,1578,8.13
장르,정론-정론(政論),28,1529394,12265,49185,0,0,1138,8.02
장르,사부(史部)_별사류(別史類),2,1240954,11672,52369,1680,10289,1021,9.41
장르,왕실-비빈(妃嬪),17,1064817,11067,31528,0,0,1286,10.39
장르,집부(集部)_별집류(別集類),14,2696549,10948,35955,881,4617,4284,4.06
장르,정론-간쟁(諫諍),28,1438438,10600,50408,0,0,1296,7.37
장르,과학-역법(曆法),12,1488146,9984,58175,0,0,925,6.71
장르,농업-권농(勸農),18,1163300,9900,33171,0,0,1266,8.51
장르,왕실-사급(賜給),10,905298,9382,25377,0,0,944,10.36
장르,왕실-종사(宗社),15,987980,8294,26288,0,0,990,8.39
장르,정론(政論),7,793318,7053,19370,0,0,639,8.89
장르,왕실-종친(宗親),11,377196,5131,10750,0,0,120,13.6
장르,외교-야(野),9,576091,4840,16193,0,0,345,8.4
장르,인물(人物),13,508184,4478,17100,0,0,462,8.81
장르,사부(史部)_전기류(傳記類),2,381657,4429,13598,346,2176,480,11.6
장르,사부(史部)_편년류(編年類),1,409399,4159,4558,2172,3543,132,10.16
장르,외교-왜(倭),2,235459,3880,7196,0,0,48,16.48
장르,인사(人事),10,403682,3728,13016,0,0,426,9.23
장르,행정-지방행정(地方行政),5,325632,3655,7449,0,0,177,11.22
장르,과학-지학(地學),4,278416,2643,7085,0,0,64,9.49
장르,사부(史部)_정서류(政書類),2,548284,2614,4577,1369,4871,75,4.77
장르,구휼(救恤),6,399870,2591,13102,0,0,430,6.48
장르,재정(財政),2,407469,2553,12697,0,0,167,6.27
장르,과학(科學),5,271595,2442,6422,0,0,313,8.99
장르,사부(史部)_사표류(史表類),1,198567,2431,5998,482,2840,202,12.24
장르,사법-치안(治安),4,307012,2417,6931,0,0,378,7.87
장르,사법(司法),4,380850,2158,12687,0,0,292,5.67
장르,인사-관리(管理),5,217586,2080,6420,0,0,177,9.56
장르,사부(史部)_기사본말류(紀史本末類),1,241892,1974,3738,478,1767,79,8.16
장르,사법-법제(法制),2,174628,1959,4743,0,0,90,11.22
장르,왕실-경연(經筵),6,201884,1826,6579,0,0,346,9.04
