끝글자,총합,미상,왕실-의식(儀式),사부(史部)_잡사류(雜史類),사부(史部)_지리류(地理類),왕실-행행(行幸),과학-천기(天氣),왕실-국왕(國王),왕실(王室),인사-임면(任免),정론-정론(政論),사부(史部)_별사류(別史類),왕실-비빈(妃嬪),집부(集部)_별집류(別集類),정론-간쟁(諫諍),과학-역법(曆法),농업-권농(勸農),왕실-사급(賜給),왕실-종사(宗社),정론(政論),왕실-종친(宗親),외교-야(野),인물(人物),사부(史部)_전기류(傳記類),사부(史部)_편년류(編年類),외교-왜(倭),인사(人事),행정-지방행정(地方行政),과학-지학(地學),사부(史部)_정서류(政書類),구휼(救恤),재정(財政),과학(科學),사부(史部)_사표류(史表類),사법-치안(治安),사법(司法),인사-관리(管理),사부(史部)_기사본말류(紀史本末類),사법-법제(法制),왕실-경연(經筵),군사-군정(軍政),왕실-궁관(宮官),사법-행형(行刑),외교-명(明),정치＞왕실＞국왕＞즉위·책봉,행정-중앙행정(中央行政),농업(農業),신분-천인(賤人),재정-공물(貢物),식생활-기명제물(器皿祭物),정치＞왕실＞궁궐＞宮·城,인사-선발(選拔),재정-상공(上供),사법-재판(裁判),정치＞행정＞군현＞주·부,사법-탄핵(彈劾),풍속-예속(禮俗),의생활-관복(官服),행정(行政),농업-농작(農作),재정-잡세(雜稅),무역(貿易),군사-전쟁(戰爭),재정-전세(田稅),정치＞왕실＞국왕＞활동(결혼·통치),윤리-강상(綱常),문화＞사상＞불교사상＞승려생활,정치＞왕실＞국왕＞신상,호구-이동(移動),역사-편사(編史),정치＞신이＞생물＞사람·귀신,정치＞행정＞관서＞군사관서,사회＞사회조직＞신분＞성씨,외교-일본(日本),문화＞사상＞불교사상＞승려(법명·법호),사회＞의례＞제사＞조상신,사회＞사회조직＞신분＞촌락,정치＞행정＞관인＞政務諫言,정치＞행정＞관인＞인사·제도,과학-생물(生物),정치＞군사＞전쟁＞전쟁결과,재정-국용(國用),역사-사학(史學),사상-유학(儒學),보건(保健),사회＞사회조직＞신분＞복식(옷·관모·혁대·장식구·신발·가죽),정치＞행정＞관직＞중앙관직,정치＞행정＞관서＞중앙관서
宮,149863,139436,3514,470,18,535,669,878,857,172,371,1,250,1,65,104,307,165,72,152,181,155,57,0,0,12,67,129,67,0,39,248,102,0,13,104,84,3,75,23,15,39,18,27,0,38,17,7,3,67,0,11,8,11,0,7,33,9,35,9,33,13,1,2,0,26,0,0,13,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
州,122743,70362,17517,7543,2899,3151,3455,1279,1347,912,950,975,642,768,837,912,551,633,607,414,282,473,429,399,228,439,245,194,223,294,200,170,139,178,176,151,92,118,117,123,148,94,109,152,197,188,109,93,88,101,27,52,41,35,59,38,7,57,42,35,35,64,67,60,47,25,39,24,25,12,40,64,43,2,17,8,24,15,13,5,7,5,2,1,3,0,0,0
道,88384,42341,24157,773,328,2887,3205,1189,1412,1022,720,156,818,32,981,554,476,1070,560,560,228,249,386,47,114,268,487,117,79,21,246,149,111,12,247,117,154,20,180,63,211,88,62,158,5,39,66,256,109,161,0,82,143,92,0,23,1,127,52,54,3,28,7,24,1,14,0,1,16,8,1,0,0,0,1,0,1,0,3,2,0,6,0,0,3,0,0,0
門,86860,80178,2710,94,8,540,368,408,446,124,189,4,66,16,58,182,253,69,50,127,56,73,39,4,8,12,23,15,13,0,33,39,55,18,37,75,37,0,6,81,9,30,6,27,1,73,20,8,1,7,0,11,6,26,0,8,2,2,12,7,69,0,7,1,0,3,0,0,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
山,77110,43780,8312,8581,1810,1981,1832,876,866,500,449,252,409,888,458,600,455,367,388,341,204,178,135,149,158,152,151,89,123,376,121,111,94,54,88,99,85,70,97,66,82,58,50,65,131,91,51,41,36,36,45,48,30,34,2,33,1,41,22,17,9,22,27,20,9,13,98,54,19,10,28,36,13,2,27,12,23,10,5,3,5,4,2,0,0,0,0,0
陵,71462,60396,3539,221,84,444,902,854,661,389,199,32,376,49,185,323,332,440,174,185,126,61,111,1,7,17,84,17,17,15,38,75,74,1,43,42,149,1,110,81,18,53,14,34,9,12,50,11,72,20,1,68,3,30,0,17,64,9,14,15,12,4,5,26,0,5,0,1,9,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
殿,70900,51906,8373,0,0,906,972,1202,1367,709,366,1,420,0,254,208,517,366,178,162,170,126,105,0,0,64,229,47,31,0,53,54,90,0,108,86,288,0,187,183,152,119,8,35,0,80,67,14,21,73,0,20,21,11,0,4,408,5,11,15,27,12,0,10,0,20,0,0,12,12,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0
川,56808,32942,5548,7881,1098,1065,1141,511,659,360,361,185,335,328,362,396,270,309,260,234,135,143,89,126,87,227,104,112,97,37,100,86,52,91,72,65,32,103,40,45,65,27,26,33,40,58,46,54,46,16,12,29,15,26,0,15,0,27,27,23,9,7,15,28,4,7,10,10,8,2,3,13,4,0,4,0,1,1,0,0,1,2,6,0,0,0,0,0
城,53985,31685,6658,4420,993,1257,1191,678,564,414,375,423,325,536,303,385,320,236,304,207,143,123,113,221,141,110,78,106,50,86,77,25,105,42,53,33,47,54,38,54,91,31,41,35,176,55,32,45,37,13,116,35,32,32,2,20,8,16,14,31,4,24,18,16,1,16,3,13,14,3,5,0,7,2,1,5,2,6,2,0,1,1,1,3,2,0,0,0
堂,46788,40092,1591,97,8,400,384,323,1314,149,36,0,141,0,145,89,244,156,30,102,96,70,42,1,0,1,223,9,5,1,112,8,80,0,10,25,3,1,30,32,18,328,2,6,0,2,32,5,107,1,0,15,0,5,0,2,4,7,5,7,173,0,0,2,0,13,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
