끝글자,총합,승정원일기,조선왕조실록,한국사료총서,고순종실록,고려사,고려사절요,삼국사기,삼국유사
宮,149863,139405,8224,499,1731,4,0,0,0
州,122743,63654,38128,14825,1492,2720,1300,504,120
道,88384,40728,42888,1900,2022,606,227,10,3
門,86860,79940,6473,184,249,7,3,3,1
山,77110,39712,20903,13923,1156,679,239,291,207
陵,71462,60225,9107,450,1579,57,33,10,1
殿,70900,51756,15759,1,3384,0,0,0,0
川,56808,32024,13649,10220,646,126,40,76,27
城,53985,29176,14571,7686,952,810,450,318,22
堂,46788,40059,6297,108,321,3,0,0,0
島,41977,29890,7510,3178,691,475,213,12,8
府,41445,29042,7960,1979,1847,397,188,17,15
南,38184,34113,1509,1843,551,98,54,12,4
縣,37979,25680,5579,3686,507,1229,284,980,34
廟,35794,32269,2850,6,668,1,0,0,0
西,29459,27449,880,573,483,29,17,26,2
陽,29125,17673,6546,4195,299,286,112,10,4
原,27996,17151,7868,2317,408,134,50,63,5
畿,27741,18671,8110,235,641,67,17,0,0
安,26039,14591,8470,2403,416,108,35,11,5
里,19890,3862,2270,13499,125,62,24,29,19
東,19883,9819,6345,3163,174,181,89,87,25
閣,19136,18117,897,25,96,1,0,0,0
郡,19111,11644,3115,2091,908,749,102,445,57
海,18118,10543,5351,1677,333,133,60,16,5
浦,17474,7243,6525,2967,261,340,105,17,16
興,16768,10540,4180,1577,387,65,18,1,0
國,15868,148,7163,5252,3253,23,5,20,4
羅,14691,6944,4993,1901,356,325,159,10,3
漢,14531,6632,7151,499,243,3,1,2,0
都,13838,11840,738,799,158,179,110,6,8
洞,13795,5287,2233,6014,141,84,29,0,7
壇,13461,13068,242,2,148,1,0,0,0
津,13282,7676,3045,2019,362,81,32,58,9
營,13013,12593,232,152,22,7,6,1,0
臺,12872,10360,1909,164,422,13,1,0,3
人,12794,35,12753,3,1,2,0,0,0
京,12620,5195,1721,3762,450,916,540,29,7
寧,12578,6292,4223,1830,154,62,17,0,0
倭,12399,49,12259,28,60,0,0,3,0
淸,11941,5383,4955,1099,428,53,23,0,0
江,11082,5168,4194,890,218,356,197,43,16
地,9953,9752,138,46,7,4,0,2,4
尙,9771,5569,3656,118,289,93,46,0,0
館,9255,5863,3303,35,48,4,2,0,0
平,8953,5031,2192,1476,138,80,25,11,0
北,8722,7760,421,279,196,25,34,6,1
園,8709,7858,530,173,141,5,1,1,0
嶺,8327,6136,1568,211,155,141,58,43,15
鮮,8089,14,4045,2808,1218,0,0,4,0
華,7956,4700,2260,552,227,141,76,0,0
壤,7853,3412,3164,847,188,89,28,112,13
德,7688,5087,1545,773,186,75,21,1,0
鎭,7205,4331,1726,528,280,236,103,1,0
關,6960,6034,510,279,106,18,12,1,0
本,6636,15,2942,2538,1126,2,0,13,0
面,6561,1387,250,4726,71,86,41,0,0
路,6543,5905,449,79,21,50,39,0,0
萊,6460,2829,1747,1629,227,18,6,4,0
院,6397,4059,1440,732,126,28,12,0,0
牧,6315,5603,236,260,167,41,6,1,1
仁,6211,3560,1077,1468,74,26,6,0,0
村,6131,2235,317,3374,19,75,29,47,35
唐,6001,103,5216,571,111,0,0,0,0
麗,5731,20,2428,3171,111,0,0,1,0
鏡,5681,3773,1637,70,201,0,0,0,0
湖,5627,5115,192,161,158,0,0,0,1
驛,5585,3125,1469,597,140,159,87,6,2
谷,5580,1528,513,3342,68,49,5,61,14
峴,5560,3788,861,762,46,41,17,27,18
昌,5532,2869,1500,1025,68,53,15,2,0
部,5532,5265,126,93,2,18,17,8,3
樓,5482,3704,1682,39,50,5,2,0,0
亭,5471,3157,1529,681,83,13,7,0,1
中,5370,4657,610,76,20,6,1,0,0
邊,5341,3234,1611,392,60,26,12,4,2
宋,4882,77,4259,425,121,0,0,0,0
稷,4776,4373,328,4,71,0,0,0,0
外,4771,4707,34,28,2,0,0,0,0
契,4731,4663,66,1,1,0,0,0,0
界,4721,2348,1768,227,50,204,123,0,1
寺,4597,1409,3039,104,43,1,0,0,1
源,4403,2115,1560,556,161,8,1,1,1
倉,4323,2585,1581,76,51,19,11,0,0
