파일,출처,제목,subjectClass,한자수,지명총,지명고유,비한자지명,이름,관서,관직,서명,밀도_천자당
kr_000.xml,고려사,高麗史,미상,5550,57,39,0,282,0,117,42,10.27
kr_001.xml,고려사,世家 卷第一,미상,8018,154,111,0,413,0,183,1,19.21
kr_002.xml,고려사,世家 卷第二,미상,10827,65,48,0,449,0,144,11,6.0
kr_003.xml,고려사,世家 卷第三,미상,11659,87,67,0,300,0,111,13,7.46
kr_004.xml,고려사,世家 卷第四,미상,11576,155,86,0,670,0,438,10,13.39
kr_005.xml,고려사,世家 卷第五,미상,9252,80,61,0,600,0,388,5,8.65
kr_006.xml,고려사,世家 卷第六,미상,10633,69,52,0,376,0,292,5,6.49
kr_007.xml,고려사,世家 卷第七,미상,12084,89,74,0,424,0,292,16,7.37
kr_008.xml,고려사,世家 卷第八,미상,11042,62,50,0,412,0,337,17,5.61
kr_009.xml,고려사,世家 卷第九,미상,11677,198,124,0,397,0,286,7,16.96
kr_010.xml,고려사,世家 卷第十,미상,11060,55,44,0,405,0,275,141,4.97
kr_011.xml,고려사,世家 卷第十一,미상,11172,55,38,0,433,0,285,15,4.92
kr_012.xml,고려사,世家 卷第十二,미상,11410,105,78,0,439,0,313,11,9.2
kr_013.xml,고려사,世家 卷第十三,미상,10530,59,40,0,441,0,378,6,5.6
kr_014.xml,고려사,世家 卷第十四,미상,12496,64,29,0,412,0,301,55,5.12
kr_015.xml,고려사,世家 卷第十五,미상,12964,78,46,0,365,0,199,11,6.02
kr_016.xml,고려사,世家 卷第十六,미상,13358,58,20,0,359,0,267,41,4.34
kr_017.xml,고려사,世家 卷第十七,미상,11489,31,23,0,509,0,363,12,2.7
kr_018.xml,고려사,世家 卷第十八,미상,11080,65,48,0,330,0,233,0,5.87
kr_019.xml,고려사,世家 卷第十九,미상,11178,90,71,0,414,0,238,4,8.05
kr_020.xml,고려사,世家 卷第二十,미상,11586,36,31,0,429,0,316,2,3.11
kr_021.xml,고려사,世家 卷第二十一,미상,9005,44,29,0,412,0,215,5,4.89
kr_022.xml,고려사,世家 卷第二十二,미상,11021,168,119,0,429,0,342,2,15.24
kr_023.xml,고려사,世家 卷第二十三,미상,12809,176,120,0,342,0,162,0,13.74
kr_024.xml,고려사,世家 卷第二十四,미상,13102,232,154,0,545,0,180,0,17.71
kr_025.xml,고려사,世家 卷第二十五,미상,10081,96,65,0,356,0,159,0,9.52
kr_026.xml,고려사,世家 卷第二十六,미상,12272,120,77,0,473,0,222,3,9.78
kr_027.xml,고려사,世家 卷第二十七,미상,15079,266,99,0,479,0,215,0,17.64
kr_028.xml,고려사,世家 卷第二十八,미상,14111,206,95,0,627,0,315,3,14.6
kr_029.xml,고려사,世家 卷第二十九,미상,14511,202,102,0,583,0,390,0,13.92
kr_030.xml,고려사,世家 卷第三十,미상,11805,206,94,0,572,0,398,1,17.45
kr_031.xml,고려사,世家 卷第三十一,미상,10742,70,37,0,440,0,274,1,6.52
kr_032.xml,고려사,世家 卷第三十二,미상,10461,62,42,0,549,0,300,3,5.93
kr_033.xml,고려사,世家 卷第三十三,미상,11717,42,38,0,630,0,333,4,3.58
kr_034.xml,고려사,世家 卷第三十四,미상,8692,57,47,0,435,0,198,7,6.56
kr_035.xml,고려사,世家 卷第三十五,미상,10672,80,53,0,760,0,318,0,7.5
kr_036.xml,고려사,世家 卷第三十六,미상,9732,77,56,0,570,0,185,1,7.91
kr_037.xml,고려사,世家 卷第三十七,미상,7134,61,53,0,579,0,286,2,8.55
kr_038.xml,고려사,世家 卷第三十八,미상,8835,59,45,0,675,0,327,0,6.68
kr_039.xml,고려사,世家 卷第三十九,미상,12604,246,166,0,605,0,420,9,19.52
kr_040.xml,고려사,世家 卷第四十,미상,11914,165,118,0,805,0,494,0,13.85
kr_041.xml,고려사,世家 卷第四十一,미상,8242,104,65,0,520,0,263,0,12.62
kr_042.xml,고려사,世家 卷第四十二,미상,7562,61,44,0,124,0,53,13,8.07
kr_043.xml,고려사,世家 卷第四十三,미상,7160,93,66,0,311,0,118,2,12.99
kr_044.xml,고려사,世家 卷第四十四,미상,10175,92,59,0,275,0,152,1,9.04
kr_045.xml,고려사,世家 卷第四十五,미상,11453,90,58,0,795,0,297,12,7.86
kr_046.xml,고려사,世家 卷第四十六,미상,13257,79,67,0,691,0,287,11,5.96
kr_047.xml,고려사,志 卷第一,미상,17203,1,1,0,47,0,6,3,0.06
kr_048.xml,고려사,志 卷第二,미상,17327,3,3,0,13,0,7,1,0.17
kr_049.xml,고려사,志 卷第三,미상,13451,0,0,0,9,0,1,0,0.0
kr_050.xml,고려사,志 卷第四,미상,14657,1,1,0,2,0,1,12,0.07
kr_051.xml,고려사,志 卷第五,미상,15946,0,0,0,1,0,0,0,0.0
kr_052.xml,고려사,志 卷第六,미상,19210,0,0,0,0,0,0,0,0.0
kr_053.xml,고려사,志 卷第七,미상,18957,248,186,0,311,0,15,3,13.08
kr_054.xml,고려사,志 卷第八,미상,13907,140,98,0,186,0,11,6,10.07
kr_055.xml,고려사,志 卷第九,미상,8303,167,86,0,162,0,4,1,20.11
kr_056.xml,고려사,志 卷第十,미상,10104,918,722,0,502,0,180,4,90.86
kr_057.xml,고려사,志 卷第十一,미상,14630,1353,1089,0,780,0,248,7,92.48
kr_058.xml,고려사,志 卷第十二,미상,10926,996,788,0,534,0,235,4,91.16
kr_059.xml,고려사,志 卷第十三,미상,11373,1,1,0,37,0,580,8,0.09
kr_060.xml,고려사,志 卷第十四,미상,10890,0,0,0,153,0,540,0,0.0
kr_061.xml,고려사,志 卷第十五,미상,15029,3,3,0,376,0,590,10,0.2
kr_062.xml,고려사,志 卷第十六,미상,12879,0,0,0,155,0,734,1,0.0
kr_063.xml,고려사,志 卷第十七,미상,7495,35,30,0,32,0,257,1,4.67
kr_064.xml,고려사,志 卷第十八,미상,11624,19,14,0,311,0,290,4,1.63
kr_065.xml,고려사,志 卷第十九,미상,9308,3,3,0,50,0,235,0,0.32
kr_066.xml,고려사,志 卷第二十,미상,9520,0,0,0,4,0,290,0,0.0
kr_067.xml,고려사,志 卷第二十一,미상,10572,1,1,0,15,0,329,1,0.09
kr_068.xml,고려사,志 卷第二十二,미상,10618,4,1,0,18,0,470,2,0.38
kr_069.xml,고려사,志 卷第二十三,미상,9999,6,5,0,13,0,293,0,0.6
kr_070.xml,고려사,志 卷第二十四,미상,7229,0,0,0,66,0,10,0,0.0
kr_071.xml,고려사,志 卷第二十五,미상,11837,93,74,0,103,0,9,16,7.86
kr_072.xml,고려사,志 卷第二十六,미상,18000,3,3,0,111,0,329,5,0.17
kr_073.xml,고려사,志 卷第二十七,미상,13802,3,3,0,772,0,995,68,0.22
kr_074.xml,고려사,志 卷第二十八,미상,10294,8,8,0,631,0,203,42,0.78
kr_075.xml,고려사,志 卷第二十九,미상,14347,21,15,0,308,0,382,1,1.46
kr_076.xml,고려사,志 卷第三十,미상,13834,0,0,0,396,0,1676,1,0.0
kr_077.xml,고려사,志 卷第三十一,미상,15609,39,31,0,493,0,1461,1,2.5
kr_078.xml,고려사,志 卷第三十二,미상,16976,125,90,0,131,0,529,1,7.36
kr_079.xml,고려사,志 卷第三十三,미상,11130,240,216,0,150,0,102,1,21.56
kr_080.xml,고려사,志 卷第三十四,미상,16150,529,247,0,165,0,973,1,32.76
kr_081.xml,고려사,志 卷第三十五,미상,10666,109,62,0,86,0,199,3,10.22
kr_082.xml,고려사,志 卷第三十六,미상,12760,1453,1106,0,141,0,131,1,113.87
kr_083.xml,고려사,志 卷第三十七,미상,8526,151,147,0,74,0,616,0,17.71
kr_084.xml,고려사,志 卷第三十八,미상,13428,18,16,0,95,0,304,13,1.34
kr_085.xml,고려사,志 卷第三十九,미상,13987,30,23,0,100,0,61,13,2.14
kr_086.xml,고려사,年表 卷第一,미상,5270,0,0,0,0,0,0,0,0.0
kr_087.xml,고려사,年表 卷第二,미상,5482,3,2,0,0,0,0,0,0.55
kr_088.xml,고려사,列傳 卷第一,미상,10509,64,36,0,908,0,88,12,6.09
kr_089.xml,고려사,列傳 卷第二,미상,9784,43,35,0,522,0,76,2,4.39
kr_090.xml,고려사,列傳 卷第三,미상,8755,38,34,0,930,0,97,3,4.34
kr_091.xml,고려사,列傳 卷第四,미상,7348,31,23,0,919,0,78,11,4.22
kr_092.xml,고려사,列傳 卷第五,미상,6336,94,73,0,498,0,122,0,14.84
kr_093.xml,고려사,列傳 卷第六,미상,10242,26,23,0,313,0,113,17,2.54
kr_094.xml,고려사,列傳 卷第七,미상,11691,203,145,0,734,0,334,3,17.36
kr_095.xml,고려사,列傳 卷第八,미상,10617,61,47,0,598,0,421,16,5.75
kr_096.xml,고려사,列傳 卷第九,미상,12815,153,96,0,605,0,270,11,11.94
kr_097.xml,고려사,列傳 卷第十,미상,6988,60,50,0,465,0,269,3,8.59
kr_098.xml,고려사,列傳 卷第十一,미상,12551,88,62,0,677,0,252,14,7.01
kr_099.xml,고려사,列傳 卷第十二,미상,12270,101,72,0,780,0,414,11,8.23
kr_100.xml,고려사,列傳 卷第十三,미상,9423,144,104,0,650,0,268,1,15.28
kr_101.xml,고려사,列傳 卷第十四,미상,7317,47,42,0,346,0,163,15,6.42
kr_102.xml,고려사,列傳 卷第十五,미상,8048,60,51,0,459,0,247,17,7.46
kr_103.xml,고려사,列傳 卷第十六,미상,12010,238,168,0,693,0,317,1,19.82
kr_104.xml,고려사,列傳 卷第十七,미상,16460,213,116,0,1282,0,387,4,12.94
kr_105.xml,고려사,列傳 卷第十八,미상,12989,65,50,0,1007,0,357,13,5.0
kr_106.xml,고려사,列傳 卷第十九,미상,12523,103,76,0,815,0,432,14,8.22
kr_107.xml,고려사,列傳 卷第二十,미상,9395,67,50,0,585,0,239,19,7.13
kr_108.xml,고려사,列傳 卷第二十一,미상,6446,41,37,0,466,0,221,2,6.36
kr_109.xml,고려사,列傳 卷第二十二,미상,9753,59,53,0,504,0,275,17,6.05
kr_110.xml,고려사,列傳 卷第二十三,미상,13061,75,56,0,708,0,223,20,5.74
kr_111.xml,고려사,列傳 卷第二十四,미상,13694,131,99,0,945,0,306,5,9.57
kr_112.xml,고려사,列傳 卷第二十五,미상,12990,107,83,0,679,0,227,17,8.24
kr_113.xml,고려사,列傳 卷第二十六,미상,18307,335,194,0,1246,0,318,1,18.3
kr_114.xml,고려사,列傳 卷第二十七,미상,13165,236,149,0,1033,0,346,1,17.93
kr_115.xml,고려사,列傳 卷第二十八,미상,15157,46,31,0,801,0,160,7,3.03
kr_116.xml,고려사,列傳 卷第二十九,미상,8377,69,56,0,548,0,126,1,8.24
kr_117.xml,고려사,列傳 卷第三十,미상,14065,40,34,0,716,0,161,13,2.84
kr_118.xml,고려사,列傳 卷第三十一,미상,10119,30,24,0,193,0,112,8,2.96
kr_119.xml,고려사,列傳 卷第三十二,미상,8647,14,12,0,376,0,44,7,1.62
kr_120.xml,고려사,列傳 卷第三十三,미상,12985,30,25,0,549,0,102,7,2.31
kr_121.xml,고려사,列傳 卷第三十四,미상,6971,83,65,0,423,0,129,5,11.91
kr_122.xml,고려사,列傳 卷第三十五,미상,8408,82,55,0,610,0,144,13,9.75
kr_123.xml,고려사,列傳 卷第三十六,미상,10283,75,50,0,816,0,278,4,7.29
kr_124.xml,고려사,列傳 卷第三十七,미상,11060,70,59,0,977,0,253,0,6.33
kr_125.xml,고려사,列傳 卷第三十八,미상,14112,72,59,0,1347,0,307,5,5.1
