name,출전
㐏非里,호구총수
㐑巨洞里,호구총수
㐑梅里,호구총수
㐓化,역지사지LV3
㐓化面,호구총수
㐚未串,여지도서
㐚足里,호구총수
㐥坪里,호구총수
㐥業里,호구총수
㐥每里,호구총수
㐥雲里,호구총수
㖌節里,호구총수
㖙古介里,호구총수
㖙等,역지사지LV3
㖙等面,호구총수
㗡村,역지사지LV3
㗡村面,호구총수
㗡次串,역지사지LV3
㗡次串坊,호구총수
㘏洞里,호구총수
㵢溪,여지도서
㹨峙里,호구총수
㹨所里,호구총수
㹨洞村,호구총수
㹨洞里,호구총수
㹨虎村,호구총수
㹨谷里,호구총수
㹨足里,호구총수
㹨項里,호구총수
㹨頭里,호구총수
㺚川,여지도서
㺚川津,여지도서
䀝盧峯,여지도서
䔉山,여지도서
䔉山里,호구총수
䕯山里,호구총수
䲭岳山,여지도서
䲶鴦,호구총수
一上里,호구총수
一云里,호구총수
一位,역지사지LV3
一北面,호구총수
一升川里,호구총수
一南面,호구총수
一嘉禮,역지사지LV3
一基洞,호구총수
一大召院里,호구총수
一大峙里,호구총수
一大里,호구총수
一契,호구총수
一安,역지사지LV3
一安面,호구총수
一寧朔里,호구총수
一島,여지도서
一巨利所里,호구총수
一建金里,호구총수
一徒里,호구총수
一心洞,호구총수
一所里,호구총수
一新,군현역원
一新豊里,호구총수
一新里,호구총수
一方,역지사지LV3
一方面,호구총수
一東面,호구총수
一松亭里,호구총수
一松里,호구총수
一柳谷,역지사지LV3
一椽島里,호구총수
一檢沙里,호구총수
一正洞,역지사지LV3
一洞,호구총수
一洞內,호구총수
一洞內里,호구총수
一洞里,호구총수
一浮石,역지사지LV3
一浮石面,호구총수
一炭,역지사지LV3
一炭面,호구총수
一牌孟洞里,호구총수
一牌廣津里,호구총수
一牌成陵里,호구총수
一牌月陰里,호구총수
一牌里,호구총수
一牌里倉里,호구총수
一牌金門里,호구총수
一牌鼎谷里,호구총수
一獨子洞,호구총수
一班城,역지사지LV3
一用,역지사지LV3
一用面,호구총수
一直,역지사지LV3·특수구역
一直縣,특수구역
一直里,호구총수
一直面,호구총수
一眉島,여지도서
一碇浦里,호구총수
一竹,역지사지LV3
一竹里,호구총수
一老,역지사지LV3
一老村,역지사지LV3
一自如里,호구총수
一舟巖村,호구총수
一良,역지사지LV3
一良坊,호구총수
一西面,호구총수
一角洞里,호구총수
一谷川,신증동국여지승람
一谷村,호구총수
一貫里,호구총수
一遇巖,여지도서
一運,역지사지LV3
一道,역지사지LV3·호구총수
一道坊,호구총수
一道面,호구총수
一遠,역지사지LV3
一遠東,역지사지LV3
一遠東面,호구총수
一郞,역지사지LV3
一里大巨美,호구총수
一里渡馬海,호구총수
一里社稷洞,호구총수
一鏡湖里,호구총수
一門,군현역원
一門里,호구총수
丁串里,호구총수
丁倉里,호구총수
丁光里,호구총수
丁古介里,호구총수
丁吉里,호구총수
丁垈里,호구총수
丁子里,호구총수
丁山村,호구총수
丁惠,역지사지LV3
丁惠面,호구총수
丁洞,역지사지LV3
丁洞村,호구총수
丁洞面,호구총수
丁火,특수구역
丁火所,특수구역
丁萬碩契,호구총수
丁龍里,호구총수
丁串蟹巖浦,여지도서
七井,역지사지LV3
七井洞,호구총수
七井里,호구총수
七井面,호구총수
七仙里,호구총수
七佛島,여지도서
七印亭里,호구총수
七坪,역지사지LV3
七城山,신증동국여지승람
七宗里,호구총수
七寶,역지사지LV3
七寶山,여지도서
七尾里,호구총수
七山,역지사지LV3
七山島,여지도서
七山里,호구총수
七山面,호구총수
七岳山,여지도서
七峯山,여지도서
七峯村,호구총수
七峰里,호구총수
七席里,호구총수
七星,역지사지LV3
七星山,여지도서
七星山里,호구총수
七星峰,여지도서
七星村里,호구총수
七星洞,호구총수
七星洞里,호구총수
七星里,호구총수
七星面,호구총수
七普光里,호구총수
七松亭里,호구총수
七松里,호구총수
七栗洞,호구총수
七水洞,호구총수
七泉里,호구총수
七洞里,호구총수
七田里,호구총수
七甲山,여지도서
七界里,호구총수
七百乳,특수구역
七百乳所,특수구역
七百面,호구총수
七皇閭,호구총수
七良,역지사지LV3·특수구역
七良面,호구총수
七葉里,호구총수
七谷,역지사지LV3
七谷里,호구총수
七賢山,여지도서
七賢里,호구총수
七里多井,호구총수
七里芿串,호구총수
七長洞,호구총수
七間里,호구총수
七陽,역지사지LV3
七陽所,특수구역
七馬田里,호구총수
七驛里,호구총수
七骨若面,호구총수
七點山,여지도서
丈加,역지사지LV3
丈坪里,호구총수
丈大里,호구총수
丈麻,역지사지LV3
三丁里,호구총수
三上,역지사지LV3
三上端里,호구총수
三上里,호구총수
三下,역지사지LV3
三下端里,호구총수
三下里,호구총수
三丘里,호구총수
三中里,호구총수
三串里,호구총수
